# Height,LEFT Index Finger,RIGHT Index Finger
178,7.5,7.5
170,8,8
180,8,8
186,7.8,7.8
168,7.5,7
182,8.7,8.7
157.48,6.5,6.5
183,9.6,9.6
154,6,6
168,7,7
168,6.5,6.5
167,7.4,7.3
184,11,11
157,7,7
179,9,8
163,8.5,8.5
175,7.5,7.8
177,7.4,7.6
183,8,8
178,7.3,7.2
180,9,9
185,8,8
171,6.8,6.7
188,10,10
194,8.3,8.5
167,7.9,8
165,6,6
188,9,9
186,8.5,8.2
157,7.5,7.5
165,6.5,6.3
168,8,8.1
187,6.8,6.8
165,7,7.5
180,8,8
178,7.5,7.5
182,8.5,8.5
180,8.1,8.1
166,8.5,8.7
191,9,11
188,10,10.5
190,9,9.5
175,7,7
180.5,9.2,9.1
164,8,8
183,9,9
180,9.9,9.4
185,11,11
180,8,8
170,7,7.5
185,8,8
170,9.2,9.2
195,9,9
176,9,8.7
164,7,7.3
178,8,8
179,7.7,7.8
154,7,7
179,7.6,7.5
164,7.5,7.5
173,7,7
177,7.5,7.5
195,12,13
176,8.6,8.7
177,8.5,8.5
188,9.5,9.5
180,8,8
175,7.5,7.5
165,9,9
180,10,15
300,8,8
186,8,8
182,8.1,8.2
177,8,8
185.928,10,10
175,9,9
176,9.5,9.3
173,7,8
181,10,10
176,8.7,8.6
181,11,11
182,8,8.1
175,9,9
185,8,8
189,8,8
169,8.5,8
186,8.5,8.5
170,7,7
169,7.5,7.5
190,10,10
180,9,9.5
165,6.5,6.6
174,6,6
180,10,10
160,7,7
159,8,8
156,6,6
180,9,9
163,7.6,7.5
176,8,8
155,7.5,7.5
