# sample number, mean, std, sem 
0, 68.16, 3.910805543618859, 0.39305074594623135 
1, 68.16, 3.6461486530310303, 0.36645172763526257 
2, 67.97, 3.7268082859197356, 0.37455832575707004 
3, 68.64, 3.6946447731818552, 0.37132577109975584 
4, 68.35, 3.4128433893163046, 0.34300366638203034 
5, 68.69, 3.483374800391138, 0.3500923399114103 
6, 68.5, 3.7669616403674726, 0.37859388972001823 
7, 67.11, 3.880451004715818, 0.39 
8, 68.63, 3.999137406991662, 0.4019284322444291 
9, 68.38, 4.1587979032407905, 0.41797491587777164 
10, 67.98, 3.901230575087815, 0.39208842540086974 
11, 68.19, 3.915852397626856, 0.3935579738588443 
12, 68.65, 4.124015033920221, 0.4144791059787325 
13, 67.89, 3.778610855856951, 0.37976467992852114 
14, 68.22, 4.0511233010117085, 0.40715321117944947 
15, 68.22, 3.7217737706636598, 0.3740523379356845 
16, 68.84, 3.99179157772547, 0.401190148624733 
17, 67.71, 3.9706296729863895, 0.39906329717416406 
18, 68.62, 3.9440588230907503, 0.3963928262812947 
19, 68.34, 4.626488949516685, 0.4649796346143137 
20, 68.43, 3.826891689086588, 0.384617086243322 
21, 68.11, 3.859779786464508, 0.3879224643969957 
22, 68.69, 3.8644404510873245, 0.38839087881601286 
23, 68.31, 3.5459695430164095, 0.3563833482488919 
24, 68.09, 4.054861279994668, 0.4075288922025013 
25, 68.03, 4.153203582777998, 0.4174126655161931 
26, 68.4, 3.701351104664349, 0.3719997827739129 
27, 69.0, 3.4641016151377544, 0.3481553119113957 
28, 68.12, 3.878865813610984, 0.38984068229952296 
29, 67.9, 4.011234224026316, 0.40314420810083884 
30, 68.21, 4.257452289809012, 0.4278900547919979 
31, 68.26, 3.545758028969264, 0.3563620902873079 
32, 68.55, 3.785168424258028, 0.3804237403504443 
33, 68.09, 4.578416756914993, 0.4601481974716012 
34, 67.94, 4.303068672470845, 0.4324746737490456 
35, 67.86, 3.5944957921800382, 0.36126041979310564 
36, 68.39, 3.744048610795538, 0.3762910436018236 
37, 67.86, 3.8833490700682574, 0.3902912665270294 
38, 68.01, 3.928091139472199, 0.39478801369542077 
39, 68.98, 3.641373367288776, 0.36597179336029917 
40, 68.11, 3.807610799438409, 0.38267928392249606 
41, 68.39, 3.8804510047158174, 0.38999999999999996 
42, 68.36, 4.4508875519383775, 0.4473310301164569 
43, 68.61, 3.7253053566117234, 0.37440727567824866 
44, 67.99, 3.653751496749608, 0.36721584217933023 
45, 68.4, 3.9749213828703573, 0.399494630246715 
46, 69.23, 3.630027548104835, 0.36483149562780376 
47, 68.09, 3.8055091643563284, 0.3824680616493594 
48, 68.47, 3.6426775866112555, 0.36610287233414757 
49, 68.1, 3.930648801406709, 0.39504506839170395 
50, 67.93, 3.707438468808349, 0.37261158588991017 
51, 67.75, 3.545066995135635, 0.35629263877386586 
52, 68.3, 3.9962482405376174, 0.4016380600903397 
53, 68.62, 3.3638668225719037, 0.33808133621806136 
54, 68.24, 3.608656259606892, 0.36268360031767904 
55, 68.57, 4.087187296907251, 0.4107777791438868 
56, 67.74, 3.9487213120198796, 0.3968614240499949 
57, 68.69, 3.812335242341628, 0.3831541082998729 
58, 68.11, 4.046961823392952, 0.40673496694202893 
59, 68.13, 3.88240904594042, 0.39019679054745615 
60, 68.13, 4.004135362347283, 0.40243074565756665 
61, 68.35, 3.8636122993902995, 0.38830764643878474 
62, 68.41, 3.944857411871816, 0.39647308747367593 
63, 68.48, 3.7801587268261634, 0.3799202468142412 
64, 68.8, 3.475629439396553, 0.34931390184217115 
65, 69.06, 4.0294416486654825, 0.4049741231289234 
66, 68.0, 3.823610858861032, 0.38428735039910916 
67, 68.13, 3.5767443296942547, 0.35947633068566887 
68, 68.82, 3.244626326713139, 0.3260972154732295 
69, 68.01, 3.4942667328067563, 0.35118702030730475 
70, 69.05, 3.827205246651922, 0.3846485999643642 
71, 67.94, 3.5716102810917096, 0.3589603393865752 
72, 68.43, 3.5756258193496695, 0.35936391616636215 
73, 68.12, 3.6912870384189844, 0.37098830605872635 
74, 68.21, 4.079938725030071, 0.4100492702595678 
75, 67.94, 3.979497455709703, 0.3999545428716073 
76, 68.83, 4.161862563804816, 0.41828292585354954 
77, 68.62, 3.6298209322224135, 0.3648107299502971 
78, 68.23, 4.051802068216067, 0.40722142985026333 
79, 68.69, 3.830652685900929, 0.3849950806454703 
80, 67.4, 3.7920970451717078, 0.3811200929530287 
81, 68.47, 3.856047198881259, 0.38754732523000246 
82, 68.37, 3.72466105840518, 0.3743425212720607 
83, 68.28, 3.663550190730298, 0.36820064797840485 
84, 67.8, 3.8052595180880897, 0.3824429712553576 
85, 68.54, 3.542372086610891, 0.3560217902762627 
86, 67.98, 3.969836268663986, 0.3989835570394835 
87, 67.58, 3.8966139146700174, 0.39162443357085996 
88, 67.69, 3.425478068824847, 0.34427349945100694 
89, 68.64, 3.6810867960427123, 0.36996314312743006 
90, 68.0, 4.190465367951393, 0.42115761583252576 
91, 68.08, 3.730093832599925, 0.374888535622809 
92, 68.33, 3.870542597621166, 0.3890041676180892 
93, 67.76, 3.5892060403381696, 0.3607287797296641 
94, 68.51, 3.7026882126368674, 0.3721341671814594 
95, 68.39, 4.582346560442586, 0.4605431575867782 
96, 68.93, 3.9070577164920404, 0.39267407514748065 
97, 67.94, 3.9466948197194065, 0.39665775391056424 
98, 68.34, 4.082205286361772, 0.4102770682444642 
99, 68.66, 3.7019454344979206, 0.37205951516966046 
